,Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Broad.phase.of.flight,Publication.Date
730,Accident,Non-Fatal,Substantial,Airplane,Cessna,A150,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,29-04-1983
731,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,29-04-1983
732,Accident,Non-Fatal,Substantial,Helicopter,Bell,206L,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,0.0,Cruise,29-04-1983
733,Accident,Non-Fatal,Substantial,Airplane,Beech,V35B,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Cruise,29-04-1983
734,Incident,Incident,Minor,Airplane,Piper,PA-31-350,2.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Takeoff,30-04-1983
735,Accident,Non-Fatal,Destroyed,Airplane,Cessna,152,1.0,Reciprocating,Business,0.0,0.0,1.0,0.0,Climb,30-04-1983
736,Accident,Non-Fatal,Substantial,Airplane,Cessna,182E,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,30-04-1983
737,Accident,Fatal(1),Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Unknown,30-04-1983
738,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Climb,30-04-1983
739,Accident,Non-Fatal,Substantial,Airplane,Funk Aircraft Co.,B75L,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,30-04-1983
740,Accident,Non-Fatal,Substantial,Gyrocraft,Benson,BM8,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,30-04-1983
741,Accident,Non-Fatal,Destroyed,Helicopter,Bell,47G,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,Maneuvering,01-05-1983
742,Incident,Incident,Minor,Airplane,Beech,M35,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,01-05-1983
743,Accident,Non-Fatal,Destroyed,Helicopter,Hughes,269B,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,Cruise,01-05-1983
744,Accident,Non-Fatal,Destroyed,Airplane,Boeing,E75,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,0.0,Maneuvering,01-05-1983
745,Accident,Non-Fatal,Minor,Airplane,Boeing,A75N1,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,01-05-1983
746,Accident,Non-Fatal,Substantial,Airplane,Grumman,AA-5B,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,01-05-1983
747,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,01-05-1983
748,Accident,Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Go-around,01-05-1983
